State;Up;Down;Left;Right;Stay
False,False,False,False|1,1||;-298.1288;-45.8089;-46.60661;-129.5441;-41.40984
False,True,False,False|1,1||;-272.4375;-56.37326;-40.8802;-241.2883;-52.82468
True,False,False,False|0,1||;-902.3337;-64.23292;-40.68715;-853.2724;-702.6505
False,False,False,False|0,1||;-1143.857;-45.47025;-19.98133;-54.98019;-1662.221
False,False,True,False|-1,1||;-39.00928;-39.28302;-53.83952;-38.97343;-37.97584
False,False,True,False|-1,0||;-963.3204;-19.97411;-999.1093;-43.68127;-897.291
False,False,False,True|-1,0||;-35.69724;-864.3428;-1036.38;-45.51715;-782.4133
False,False,False,True|0,0||;-787.5217;-72.86791;-624.6631;-339.6608;-450.7661
True,False,False,True|-1,1||;-169.5699;-43.05286;-103.4664;-43.17664;-43.07459
True,False,False,False|-1,1||;-137.1828;-69.05695;-66.18946;-48.44516;-55.20562
False,False,False,False|-1,1||;-154.131;-61.50443;-224.3493;-56.03608;-41.58781
False,True,False,False|0,1||;-710.2998;-44.25987;-690.685;-19.99013;-824.2999
False,False,False,False|0,0||;-791.0921;-760.7038;-776.1644;-751.0459;-933.9465
True,False,False,False|1,-1||;-40.31253;-94.60481;-39.54656;-39.56641;-39.56933
True,False,False,False|1,0||;-28.30835;-26.50156;-26.96142;-26.91234;-26.69709
False,True,False,False|1,0||;-20.00748;-56.14005;-844.4257;-1514.744;-897.916
True,False,False,False|1,1||;-68.10449;-46.18842;-41.32045;-41.29395;-40.46751
False,True,False,False|0,0||;0;0;-416.2107;-818.1521;-747.5269
False,False,False,True|-1,1||;-171.6817;-42.70287;-151.1022;-42.76438;-42.62542
False,False,False,True|0,1||;-988.3667;-791.8597;-44.88291;-39.89566;-621.528
False,False,False,True|1,1||;-103.1077;-43.58754;-43.02724;-102.328;-43.59562
False,False,True,False|1,1||;-39.13842;-39.6306;-39.66715;-105.489;-39.63327
True,False,False,True|0,1||;-333.2164;-202.132;-42.29671;-320.8188;-207.2383
False,False,True,False|1,0||;-922.9307;-32.88259;-44.40411;-970.5536;-929.8007
False,False,False,True|1,0||;-37.64997;-840.2641;-44.59153;-903.0974;-825.8784
False,False,True,False|0,0||;-728.3295;-23.57261;-369.5769;-401.0927;-510.0383
False,False,False,False|-1,-1||;-42.05035;-88.76073;-151.1234;-60.96779;-44.62222
False,False,True,False|-1,-1||;-47.03263;-98.37918;-101.902;-43.82455;-47.17886
True,False,True,False|-1,0||;-498.943;-47.49682;-564.5297;-597.8322;-590.3666
True,False,True,False|0,0||;0;0;0;0;0
False,False,True,False|1,-1||;-45.85705;-235.3608;-40.45127;-98.07065;-46.0161
False,False,False,False|1,-1||;-39.83578;-112.9999;-44.92228;-99.45204;-44.31731
False,False,True,False|0,-1||;-907.2263;-1668.818;-20.01006;-42.53691;-938.8665
True,False,False,False|-1,0||;-48.36696;-99.64693;-1209.835;-766.6965;-572.8162
True,False,False,False|-1,-1||;-55.49964;-70.22276;-150.6849;-48.20162;-55.82826
False,False,False,True|-1,-1||;-37.51553;-37.51064;-180.6994;-37.80456;-37.35803
False,True,False,False|-1,-1||;-35.96194;-47.54791;-35.94895;-35.99493;-35.97466
False,True,False,False|0,-1||;-60.48021;-634.5478;-890.9341;-37.43861;-758.8392
False,False,False,False|0,-1||;-33.84272;-1673.469;-43.62575;-43.72522;-1511.275
False,True,False,True|-1,-1||;-2.812589;0.906816;1.055422;-17.38022;0.8649484
False,False,False,True|0,-1||;-23.33882;-21.94263;-22.17388;-21.84598;-21.887
False,False,False,True|1,-1||;-35.62784;-34.3819;-33.84445;-133.4268;-34.31812
True,True,False,False|1,1||;-170.9006;-117.0689;-163.373;-167.3602;-162.6506
False,True,False,False|-1,1||;-192.3571;-47.24868;-38.40983;-38.60415;-38.57595
True,True,False,False|1,-1||;-124.677;-214.0161;-103.774;-113.1645;-106.8715
True,True,False,False|0,-1||;-82.26688;-912.9928;-771.2753;-844.4324;-872.3057
True,False,False,False|0,-1||;-68.70883;-881.3663;-38.25599;-861.6736;-877.4144
True,True,False,False|0,0||;0;0;-21.268;-446.0468;-598.1067
False,False,False,False|-1,0||;-19.98919;-42.47583;-1137.127;-43.09903;-1508.905
True,False,False,False|0,0||;-138.7866;-294.5858;-405.2522;-769.444;-744.6473
False,False,False,False|1,0||;-32.58094;-43.6609;-45.11969;-1375.935;-1522.733
False,True,False,False|1,-1||;-68.50991;-166.1068;-54.0311;-246.5019;-44.55568
True,True,False,False|0,1||;-637.0582;-591.1762;-679.2389;-680.5538;-620.6151
False,False,True,False|0,1||;-18.87348;-18.89256;-19.02785;-18.90872;-19.00624
True,True,False,False|-1,-1||;-88.14104;-79.94724;-69.29575;-68.86101;-68.84422
False,True,False,True|1,0||;-45.83154;-354.6951;-179.3202;-676.0395;-203.1165
True,False,False,True|0,-1||;4.64992;8.321917;8.383824;8.605746;8.549355
True,False,True,True|-1,1||;-268.0395;-287.4198;-219.6916;-338.1573;-369.102
False,False,True,True|-1,1||;-371.0318;-413.3221;-204.223;-404.7448;-356.6488
False,False,True,True|-1,0||;-840.3885;-863.8764;-887.5582;-730.1939;-881.5284
False,False,True,True|0,0||;0;0;0;0;0
True,False,False,True|1,-1||;-1.424278;2.984816;-1.355432;3.439771;3.0213
True,False,True,True|-1,0||;-875.9521;-884.9024;-879.9484;-874.7529;-882.3671
True,True,False,True|1,0||;-0.7106131;-0.911858;-0.7965605;0;0.1484449
True,True,False,True|1,1||;-149.2078;-171.6371;-219.3709;-190.4564;-199.6813
True,True,False,True|0,1||;-665.0366;-716.4354;-731.9606;-794.8194;-716.2442
True,False,True,False|1,1||;5.071248;-6.629446;-12.48969;5.082684;4.986786
True,True,False,False|-1,1||;-101.2068;-266.7664;-258.3263;-252.9243;-241.6817
True,True,False,False|-1,0||;-47.69971;-128.9522;-61.56324;-54.41378;-68.88095
True,True,False,True|-1,1||;-197.8062;-269.7682;-265.6779;-286.9681;-329.6796
False,True,False,True|1,1||;-119.3733;-44.42413;-44.39082;-99.11061;-44.42617
True,False,False,True|1,1||;-28.53476;-28.26124;-28.7531;-28.49222;-28.54282
True,False,False,True|0,0||;0;0;0;0;0
True,False,False,True|-1,-1||;-5.915308;-3.047876;-3.716959;-3.416987;-2.773169
True,False,True,False|-1,-1||;-49.48212;-98.91012;-63.14856;-50.99749;-51.33355
True,False,False,True|-1,0||;-48.28102;-562.8345;-691.6598;-307.0401;-379.0865
False,True,False,True|0,1||;-620.1479;-504.932;-672.0845;-40.56881;-553.7502
False,False,True,True|0,1||;-110.9079;-71.7756;-19.04547;-67.41643;-148.5397
False,False,True,True|1,1||;-6.08747;-6.663644;-9.021617;-3.708378;-6.082577
True,False,True,True|0,0||;0;0;0;0;0
False,True,False,True|1,-1||;-30.1508;-30.27247;-30.15499;-30.14012;-30.23147
False,True,True,False|1,-1||;-49.73168;-80.39723;-41.74421;-65.1773;-50.34868
False,True,False,True|-1,0||;-5.726605;3.690192;7.351733;-0.7907068;7.226027
False,True,False,False|-1,0||;-16.04222;-18.15187;-16.17868;-15.83688;-16.04331
False,True,False,True|-1,1||;-23.18773;-23.08035;-23.29241;-23.19422;-23.2199
True,True,False,True|0,0||;-787.7617;0;0;0;0
False,False,True,True|1,-1||;1.094311;1.200655;-3.743492;-6.016191;1.036474
False,False,True,True|-1,-1||;-348.7174;-339.1091;-492.6085;-280.1137;-340.7422
False,True,True,False|1,1||;-4.416475;-15.51134;-7.646945;-7.165249;-8.97492
True,False,False,True|1,0||;-8.382222;-7.929456;-18.50783;-7.340912;-7.58554
True,False,True,True|0,1||;-46.75276;-35.16993;0.652586;-33.64035;-9.791729
False,True,True,False|0,-1||;-982.429;-890.4865;-790.2326;-19.9916;-871.4678
False,True,True,False|1,0||;-761.7164;-20.02215;-900.5905;-802.6592;-791.2134
False,True,True,False|0,0||;0;0;0;0;0
True,True,True,False|1,-1||;-120.4987;-76.27449;-151.0749;-118.6892;-98.30098
True,True,True,False|0,-1||;-821.6088;-716.6738;-839.5084;-812.2828;-803.1859
True,True,True,False|0,0||;0;0;0;0;0
False,True,False,True|0,0||;0;0;0;0;0
True,True,True,False|-1,-1||;-95.99333;-26.64867;-170.3788;-124.7425;-163.4906
True,False,True,False|0,-1||;-720.4008;-769.0582;-40.62854;-695.5624;-680.6043
True,True,True,False|-1,1||;4.708387;0.1348154;4.942231;4.061603;4.777951
True,True,True,False|-1,0||;1.548895;-6.233448;-0.7664844;4.015507;1.081632
True,False,True,False|0,1||;1.125858;-1.055163;4.436004;6.077893;5.841502
True,False,True,True|-1,-1||;-235.6673;-244.9713;-272.1198;-258.0976;-243.8919
True,True,False,False|1,0||;-35.94197;-35.18649;-36.92565;-40.10998;-36.39917
False,True,True,False|-1,-1||;0.6610274;-0.1457313;-1.309942;0.4501333;-0.2423824
True,True,True,False|1,1||;5.388555;-29.82654;5.588357;5.624015;5.173012
True,False,True,False|1,-1||;-15.80646;-17.36827;-17.81262;-16.80044;-16.50636
True,False,True,False|-1,1||;-3.617309;-5.731785;-7.07969;-0.244064;-0.1624178
False,True,True,False|0,1||;3.226782;2.749773;0;1.185861;0
False,False,True,True|1,0||;5.455036;5.98911;0;5.745754;6.043998
False,False,True,True|0,-1||;-55.47999;-33.65203;-6.031273;-42.98499;-77.47753
False,True,True,False|-1,1||;2.894495;-3.2271;2.282732;-1.232519;2.894844
False,True,False,True|0,-1||;-7.575658;-4.665016;-3.78059;-4.023308;-5.144165
True,True,True,False|0,1||;0;-3.456823;0;0;0
True,False,True,True|1,1||;3.738197;3.731645;3.619563;3.753983;3.740205
